Date	Rain mm/day	Tmax degC	Tmin degC	rHmean %	sunshine %	Windspeed m/s
03.01.1980 	4.6	-0.4	-5.7	81	66	2.4
04.01.1980 	4.3	0.2	-5.7	94	0	4.3
05.01.1980 	1.7	3.6	-0.6	91	5	1.9
06.01.1980 	0.2	3.8	2.0	89	0	1.9
07.01.1980 	0.7	2.7	1.6	95	0	1.2
08.01.1980 	1.2	2.3	0.2	90	0	0.8
09.01.1980 	0.0	0.8	-0.6	89	0	1.2
10.01.1980 	0.0	0.3	-2.4	68	0	2.9
11.01.1980 	0.0	-2.4	-6.5	73	0	2.9
12.01.1980 	1.3	-5.8	-8.3	73	4	4.3
13.01.1980 	9.9	-3.4	-9.6	71	77	2.4
14.01.1980 	10.0	-4.1	-11.9	79	51	1.2
15.01.1980 	0.2	-6.0	-8.6	84	0	1.2
16.01.1980 	0.0	-0.7	-7.9	75	0	4.3
17.01.1980 	1.8	0.4	-5.6	72	77	2.4
18.01.1980 	1.6	-1.9	-8.1	81	64	1.2
19.01.1980 	0.0	-1.2	-10.6	81	37	0.5
20.01.1980 	0.0	-2.5	-6.1	86	0	2.4
21.01.1980 	0.0	-0.9	-6.4	89	0	4.3
22.01.1980 	0.0	4.9	-1.7	84	19	5.0
23.01.1980 	0.0	4.7	1.7	84	4	3.7
24.01.1980 	0.3	3.1	1.7	95	0	0.8
25.01.1980 	0.5	4.8	1.2	82	12	2.9
26.01.1980 	3.9	2.8	-0.1	80	25	3.7
27.01.1980 	3.9	2.7	-2.9	76	46	2.9
28.01.1980 	1.1	-0.9	-8.0	85	15	1.9
29.01.1980 	7.2	1.3	-2.4	86	0	1.9
30.01.1980 	8.0	7.1	0.4	83	0	2.9
31.01.1980 	7.9	9.7	4.9	80	0	5.9
01.02.1980 	2.5	8.5	-1.4	77	38	5.0
02.02.1980 	2.2	6.0	-1.4	87	0	5.0
03.02.1980 	0.0	5.9	3.0	79	0	5.0
04.02.1980 	6.1	7.2	2.4	81	0	4.3
05.02.1980 	2.3	9.4	2.4	82	0	4.3
06.02.1980 	5.7	9.5	5.8	76	26	4.3
07.02.1980 	0.3	8.5	4.9	83	9	3.7
08.02.1980 	0.4	9.3	4.0	80	2	1.9
09.02.1980 	0.0	9.6	1.7	79	27	2.4
10.02.1980 	0.0	10.5	2.8	80	0	1.2
11.02.1980 	0.1	7.2	0.4	82	7	3.7
12.02.1980 	0.0	5.3	1.2	92	0	1.2
13.02.1980 	0.0	5.8	3.2	86	0	0.8
14.02.1980 	0.0	3.8	0.0	91	0	0.1
15.02.1980 	0.0	5.9	-0.6	80	0	2.4
16.02.1980 	0.0	7.5	3.8	91	1	0.8
17.02.1980 	0.0	7.8	4.4	71	27	1.9
18.02.1980 	0.0	4.6	1.9	66	0	1.9
19.02.1980 	0.0	5.6	-1.8	65	87	2.4
20.02.1980 	0.0	8.0	-2.8	71	90	2.4
21.02.1980 	0.0	10.0	-3.0	72	80	1.9
22.02.1980 	0.0	8.6	-3.0	75	79	0.8
23.02.1980 	0.0	8.5	-3.7	75	51	0.5
24.02.1980 	6.0	11.6	-0.6	70	84	0.8
25.02.1980 	4.1	11.0	-2.8	78	74	0.1
26.02.1980 	5.2	12.0	-1.8	65	85	1.9
27.02.1980 	4.5	4.6	-1.2	83	7	3.7
28.02.1980 	0.2	3.0	-1.4	72	0	2.4
29.02.1980 	0.0	5.7	1.9	83	0	4.3
01.03.1980 	0.0	8.3	4.7	79	8	2.9
02.03.1980 	0.0	6.5	2.2	69	3	3.7
03.03.1980 	0.0	5.6	-0.9	65	72	3.7
04.03.1980 	0.0	2.9	-1.6	83	0	2.9
05.03.1980 	0.0	5.7	-1.9	82	30	1.9
06.03.1980 	0.0	7.0	-2.0	80	2	5.9
07.03.1980 	0.0	9.6	5.3	74	36	5.0
08.03.1980 	0.0	10.3	2.0	69	31	1.9
09.03.1980 	0.0	11.0	1.9	75	37	3.7
10.03.1980 	0.0	7.5	2.0	83	4	1.2
11.03.1980 	1.0	6.7	4.5	91	0	0.8
12.03.1980 	0.5	7.8	3.8	83	8	2.4
13.03.1980 	0.0	6.1	3.0	88	0	2.9
