Year,Month,Day,Watercontent60-90cm
1993,4,21,22.8380620347
1993,5,3,22.1224387496
1993,6,14,20.7110918632
1993,6,28,22.435553289
1993,7,13,21.2314119184
1993,8,3,20.867804039
1993,8,17,20.6364471444
1993,8,31,20.4040175292
1993,9,21,23.1422986979
1993,12,7,24.303978936
1994,3,8,25.9010433617
1994,4,19,26.8536715316
1994,5,27,23.8196402952
1994,6,15,22.4390372335
1994,7,27,18.2570388134
1994,9,21,24.1439132394
1994,11,30,24.7302862354
1995,3,13,25.4815971518
1995,4,26,24.7544346755
1995,6,7,22.2355394895
1995,7,17,20.556359982
1996,4,22,21.0272743696
1996,8,26,19.2401887044
1997,5,5,21.3467071055
1997,10,1,21.0985363472
1998,7,29,18.0823331499
