Stationsnummer,Datum,TagesmittelDesLuftdrucks(0.1HPA),Tmax(0.1°C),Tmin(0.1°C),TminErdboden(0.1°C),relLuftfeuchte(%),Windstaerke(o.1BFT),Bedeckungsgrad(0.1Achtel),TagessummeDerSonnenscheindauer(0.1Std),TagesmaxDerWindgeschwindigkeit(0.1M/S) 
02222,19790101,1006.0,-9.3,-21.7,-22.3,84,1.3,4.3,1.0,9.3 
02222,19790102,1009.8,-6.9,-18.2,-21.3,85,2.0,6.0,2.8,9.3 
02222,19790103,1010.8,-4.4,-12.0,-20.0,84,1.0,7.0,1.5,5.1 
02222,19790104,1003.2,-6.2,-14.4,-13.5,84,2.0,4.3,1.7,6.7 
02222,19790105,1013.6,-9.2,-20.2,-21.6,82,1.3,5.7,3.4,4.0 
02222,19790106,1019.2,-6.6,-18.1,-22.3,81,2.7,2.3,6.6,6.8 
02222,19790107,1018.7,-3.4,-14.2,-17.6,76,2.3,6.0,4.2,7.9 
02222,19790108,1010.0,0.1,-3.6,-4.0,89,2.3,8.0,0.0,6.4 
02222,19790109,999.1,1.5,-0.4,-0.8,97,2.0,7.3,0.0,5.7 
02222,19790110,981.6,2.0,-3.6,-6.2,85,3.3,7.0,0.0,14.4 
02222,19790111,971.4,2.2,-0.2,-0.3,91,3.0,8.0,0.0,13.4 
02222,19790112,989.0,2.0,0.2,-0.4,85,3.7,6.7,0.3,12.9 
02222,19790113,1006.4,2.0,-0.5,-1.4,79,2.7,6.3,3.0,10.8 
02222,19790114,1018.3,1.5,-9.2,-5.3,80,1.3,4.7,5.8,4.6 
02222,19790115,1021.8,-2.2,-13.6,-15.6,85,1.3,2.7,6.9,3.1 
02222,19790116,1021.6,-3.8,-10.0,-8.1,87,1.0,6.7,0.5,3.2 
02222,19790117,1012.3,-2.5,-12.7,-14.3,82,2.0,7.7,0.1,6.7 
02222,19790118,1009.4,-2.2,-5.3,-7.7,77,3.0,3.7,4.0,10.3 
02222,19790119,1007.1,-0.4,-5.4,-7.5,73,3.7,3.7,5.4,10.8 
02222,19790120,1007.4,-0.9,-7.2,-10.7,81,3.7,5.7,0.0,9.0 
02222,19790121,1012.4,-0.8,-3.2,-2.7,90,3.0,8.0,0.0,6.2 
02222,19790122,1005.9,-0.2,-5.0,-4.6,86,2.7,8.0,0.0,8.7 
02222,19790123,994.2,3.5,-1.1,-2.0,93,3.7,8.0,0.0,10.8 
02222,19790124,995.0,3.3,-0.8,-1.0,93,2.3,8.0,0.0,12.9 
02222,19790125,991.5,0.6,-4.0,-7.6,76,3.0,7.0,0.0,8.2 
02222,19790126,984.6,1.7,-3.1,-6.6,76,2.7,6.7,1.0,7.7 
02222,19790127,987.5,0.8,-2.6,-3.9,81,1.3,6.7,0.0,5.1 
02222,19790128,987.5,-0.3,-5.2,-6.3,93,1.0,6.3,0.0,4.6 
02222,19790129,987.9,3.5,-4.6,-7.2,77,2.3,6.3,0.3,7.1 
02222,19790130,990.0,3.8,0.9,-0.7,92,2.0,6.7,0.0,6.5 
02222,19790131,1003.4,2.6,0.0,-1.1,86,3.3,8.0,0.0,10.1 
02222,19790201,991.2,4.0,1.1,-1.2,72,3.0,6.3,0.2,9.8 
02222,19790202,985.1,5.3,-0.3,0.7,90,2.3,8.0,0.0,9.3 
02222,19790203,995.7,3.6,-2.5,-3.9,71,2.7,5.0,7.4,8.2 
02222,19790204,991.7,1.7,-1.5,-1.4,78,3.0,7.3,0.0,8.7 
02222,19790205,990.6,4.9,-1.4,-0.9,79,2.0,7.3,3.6,8.2 
02222,19790206,1003.2,3.1,-5.5,-7.5,72,2.7,0.3,8.3,8.7 
02222,19790207,987.2,1.6,-2.9,-5.2,88,3.3,7.7,0.0,12.4 
02222,19790208,996.2,4.7,-3.3,0.0,78,2.7,5.0,5.9,11.8 
02222,19790209,993.6,2.2,-5.1,-6.0,79,2.0,6.7,0.2,6.2 
02222,19790210,988.9,3.0,-5.2,-6.6,57,2.7,7.0,3.4,10.3 
02222,19790211,983.5,4.4,-0.6,-1.8,65,4.0,7.7,0.0,11.3 
02222,19790212,978.3,9.1,-0.1,-0.8,85,2.7,7.3,1.5,9.8 
02222,19790213,977.5,8.0,1.9,-0.6,92,3.0,6.7,0.2,7.2 
02222,19790214,975.1,9.0,-2.0,3.9,90,2.7,8.0,0.0,6.7 
02222,19790215,993.2,-0.9,-5.2,-5.5,85,1.3,8.0,0.0,4.1 
02222,19790216,1007.9,-0.2,-5.0,-5.6,78,2.0,8.0,0.0,4.1 
02222,19790217,1004.8,-0.9,-5.1,-3.1,88,1.7,7.7,0.0,6.0 
02222,19790218,1007.5,-1.6,-5.6,-5.6,88,1.3,8.0,0.0,3.1 
02222,19790219,1014.3,0.5,-2.9,-3.9,87,1.0,8.0,0.0,2.6 
02222,19790220,1019.3,2.4,-4.3,-4.7,87,0.7,6.3,0.0,2.6 
02222,19790221,1015.1,5.2,-9.0,-9.0,74,2.0,4.7,4.4,5.7 
02222,19790222,1014.3,-1.3,-5.5,-7.0,92,1.3,8.0,0.0,4.6 
02222,19790223,1017.4,3.1,-2.1,-2.6,88,2.3,8.0,0.0,8.7 
02222,19790224,1024.0,3.2,-1.4,-0.2,78,2.7,7.3,0.4,9.3 
02222,19790225,1030.4,1.6,-4.0,-5.0,83,1.7,5.7,3.5,4.6 
02222,19790226,1023.9,2.3,-3.6,-5.2,82,1.3,6.7,0.6,3.1 
02222,19790227,1012.1,7.3,-5.1,-6.1,68,1.7,2.7,7.1,6.2 
02222,19790228,994.9,7.5,-3.2,-5.4,51,4.0,3.3,9.0,11.3 
02222,19790301,1003.5,7.3,-0.1,-3.0,74,2.7,4.3,4.9,11.8 
