Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S) 
03883;19790101;-999.9;-7.0;-25.0;-26.4;83;1.7;2.7;3.6;-9.9 
03883;19790102;-999.9;-9.7;-15.6;-19.6;80;1.3;5.7;5.3;-9.9 
03883;19790103;-999.9;-4.6;-13.2;-15.7;85;1.7;4.7;4.7;-9.9 
03883;19790104;-999.9;-7.0;-20.2;-21.0;88;1.0;2.7;3.7;-9.9 
03883;19790105;-999.9;-8.0;-19.6;-20.4;84;0.3;3.0;0.0;-9.9 
03883;19790106;-999.9;-10.5;-20.2;-20.7;84;0.7;2.0;3.8;-9.9 
03883;19790107;-999.9;-0.8;-18.0;-18.7;79;2.3;6.7;0.0;-9.9 
03883;19790108;-999.9;1.0;-1.0;-0.7;96;2.3;8.0;0.0;-9.9 
03883;19790109;-999.9;1.0;0.2;0.7;95;2.0;8.0;0.0;-9.9 
03883;19790110;-999.9;0.8;-0.8;-2.1;92;2.3;7.3;1.4;-9.9 
03883;19790111;-999.9;0.8;-2.0;-1.8;93;1.7;8.0;0.0;-9.9 
03883;19790112;-999.9;1.0;-1.2;-1.4;89;1.7;8.0;0.0;-9.9 
03883;19790113;-999.9;0.8;-4.0;-6.1;87;2.3;6.7;0.7;-9.9 
03883;19790114;-999.9;1.4;-2.0;-3.4;84;2.0;6.7;2.4;-9.9 
03883;19790115;-999.9;0.0;-5.6;-8.4;89;1.3;8.0;0.0;-9.9 
03883;19790116;-999.9;-3.2;-4.8;-5.5;88;1.3;8.0;0.0;-9.9 
03883;19790117;-999.9;-0.2;-4.5;-3.4;93;1.3;8.0;0.0;-9.9 
03883;19790118;-999.9;-1.0;-4.5;-5.6;89;2.3;8.0;0.0;-9.9 
03883;19790119;-999.9;-2.5;-4.6;-5.0;86;3.0;8.0;0.0;-9.9 
03883;19790120;-999.9;-3.4;-5.4;-4.0;90;2.3;8.0;0.0;-9.9 
03883;19790121;-999.9;-4.8;-9.0;-7.0;85;1.7;7.3;0.2;-9.9 
03883;19790122;-999.9;-7.8;-11.6;-9.8;91;1.7;6.7;0.0;-9.9 
03883;19790123;-999.9;-1.4;-9.4;-9.5;91;1.7;8.0;0.0;-9.9 
03883;19790124;-999.9;1.0;-3.6;-2.0;86;2.3;7.3;0.5;-9.9 
03883;19790125;-999.9;0.8;-3.4;-4.7;84;2.3;8.0;0.0;-9.9 
03883;19790126;-999.9;0.0;-1.9;-2.7;83;2.3;8.0;0.0;-9.9 
03883;19790127;-999.9;1.6;-10.0;-5.5;90;1.0;3.7;4.8;-9.9 
03883;19790128;-999.9;-3.0;-12.8;-10.5;91;1.0;3.0;1.8;-9.9 
03883;19790129;-999.9;-2.0;-17.0;-17.2;90;1.7;7.3;0.0;-9.9 
03883;19790130;-999.9;1.6;-3.0;-3.5;92;0.7;7.3;0.1;-9.9 
03883;19790131;-999.9;1.6;-4.4;-3.4;89;3.0;7.3;3.8;-9.9 
03883;19790201;-999.9;3.7;1.0;2.3;80;2.0;8.0;0.0;-9.9 
03883;19790202;-999.9;1.6;-2.2;1.2;93;1.3;4.7;0.0;-9.9 
03883;19790203;-999.9;1.6;-5.6;-6.5;84;2.3;7.3;2.5;-9.9 
03883;19790204;-999.9;2.6;-2.4;-2.7;89;1.7;7.3;2.2;-9.9 
03883;19790205;-999.9;1.5;-6.6;-0.5;90;1.7;4.7;4.8;-9.9 
03883;19790206;-999.9;-2.0;-5.6;-8.1;94;1.3;8.0;0.0;-9.9 
03883;19790207;-999.9;-1.0;-5.5;-5.0;87;2.7;7.3;0.2;-9.9 
03883;19790208;-999.9;-0.1;-3.8;-2.0;81;4.0;4.7;2.4;-9.9 
03883;19790209;-999.9;0.9;-8.4;-8.2;88;0.7;7.3;0.5;-9.9 
03883;19790210;-999.9;-1.0;-9.2;-11.8;93;0.0;6.3;3.8;-9.9 
03883;19790211;-999.9;-0.6;-15.4;-17.8;66;2.3;5.3;0.0;-9.9 
03883;19790212;-999.9;-1.8;-4.0;-3.1;79;2.3;8.0;0.0;-9.9 
03883;19790213;-999.9;-1.1;-3.5;-3.3;88;2.3;7.3;0.0;-9.9 
03883;19790214;-999.9;-2.6;-8.2;-4.8;88;4.3;8.0;0.0;-9.9 
03883;19790215;-999.9;-7.4;-9.0;-9.5;84;3.0;8.0;0.0;-9.9 
03883;19790216;-999.9;-5.0;-9.0;-9.3;83;2.0;7.7;0.0;-9.9 
03883;19790217;-999.9;-6.8;-11.0;-11.8;83;2.0;8.0;0.0;-9.9 
03883;19790218;-999.9;-2.4;-8.2;-8.8;94;1.7;8.0;0.0;-9.9 
