Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S)
03978;19790101;-999.9;-9.4;-20.0;-21.0;84;0.3;6.0;0.0;8.6 
03978;19790102;-999.9;-9.0;-13.7;-17.7;71;1.3;3.7;2.9;9.0 
03978;19790103;-999.9;-5.0;-11.6;-14.0;77;2.0;7.7;0.0;10.5 
03978;19790104;-999.9;-6.8;-14.4;-18.0;87;0.0;8.0;0.0;8.0 
03978;19790105;-999.9;-9.0;-13.0;-14.2;84;0.0;5.3;0.9;2.0 
03978;19790106;-999.9;-8.0;-15.5;-18.5;82;0.3;1.3;3.8;5.0 
03978;19790107;-999.9;1.3;-11.0;-13.6;43;3.0;6.7;0.4;10.0 
03978;19790108;-999.9;3.3;-0.1;-1.6;85;3.0;8.0;0.1;8.0 
03978;19790109;-999.9;2.7;0.5;0.0;85;1.7;8.0;0.0;8.9 
03978;19790110;-999.9;1.5;-1.0;-2.0;73;3.3;5.0;1.1;10.8 
03978;19790111;-999.9;1.5;-0.1;-0.9;85;1.3;6.7;0.0;11.5 
03978;19790112;-999.9;0.5;-1.0;-1.7;84;2.3;8.0;0.0;11.8 
03978;19790113;-999.9;0.4;-2.3;-3.6;80;2.7;6.0;0.0;13.0 
03978;19790114;-999.9;0.5;-1.1;-2.0;83;3.0;7.7;0.1;12.2 
03978;19790115;-999.9;0.0;-6.3;-4.3;95;0.3;8.0;0.0;8.2 
03978;19790116;-999.9;-4.6;-6.0;-5.9;93;0.3;8.0;0.0;5.3 
03978;19790117;-999.9;-3.8;-6.1;-6.0;90;0.0;8.0;0.0;2.0 
03978;19790118;-999.9;-3.6;-8.6;-7.0;82;2.7;4.0;2.2;12.4 
03978;19790119;-999.9;-3.4;-6.7;-6.5;85;2.0;6.7;0.0;12.8 
03978;19790120;-999.9;-3.1;-7.4;-9.7;86;1.3;7.7;1.3;6.2 
03978;19790121;-999.9;-4.8;-6.8;-6.2;87;1.0;8.0;0.0;4.7 
03978;19790122;-999.9;-6.0;-7.9;-9.7;85;0.7;8.0;0.0;3.2 
03978;19790123;-999.9;3.0;-9.3;-10.3;90;1.7;6.3;0.0;13.1 
03978;19790124;-999.9;3.0;-3.3;-2.2;75;2.3;8.0;0.0;14.7 
03978;19790125;-999.9;1.0;-3.4;-5.0;68;4.0;6.7;2.8;14.1 
03978;19790126;-999.9;-0.7;-2.0;-3.0;68;2.7;4.7;0.0;15.6 
03978;19790127;-999.9;1.0;-2.9;-4.0;74;0.3;4.0;0.9;7.2 
03978;19790128;-999.9;-1.5;-3.3;-4.0;95;0.0;8.0;0.0;2.0 
03978;19790129;-999.9;2.6;-2.9;-3.5;83;0.0;6.0;2.6;4.8 
03978;19790130;-999.9;3.9;-1.9;-4.2;78;0.7;6.3;2.4;8.0 
03978;19790131;-999.9;1.5;-2.0;-4.8;84;3.7;7.7;0.3;11.5 
03978;19790201;-999.9;3.9;-2.0;-0.4;69;4.0;7.7;0.2;18.0 
03978;19790202;-999.9;3.5;-0.5;1.0;88;2.3;7.7;0.0;14.0 
03978;19790203;-999.9;0.8;-3.0;-4.7;73;2.3;7.0;3.9;16.0 
03978;19790204;-999.9;2.7;-1.5;-0.4;77;1.3;5.7;3.1;11.2 
03978;19790205;-999.9;-0.6;-6.5;-8.0;88;0.0;5.3;0.0;4.9 
03978;19790206;-999.9;1.7;-6.4;-7.5;76;0.7;3.0;5.2;5.4 
03978;19790207;-999.9;2.1;-10.5;-12.0;78;1.7;6.0;1.3;11.5 
03978;19790208;-999.9;3.0;-1.5;-1.7;75;3.0;8.0;0.2;15.5 
03978;19790209;-999.9;0.4;-7.8;-9.0;69;1.0;2.3;2.4;7.3 
03978;19790210;-999.9;-1.5;-7.9;-9.2;82;0.7;6.3;4.1;5.0 
03978;19790211;-999.9;1.4;-8.9;-10.8;43;2.7;8.0;0.0;12.3 
03978;19790212;-999.9;-1.0;-3.4;-4.0;92;0.3;8.0;0.0;11.1 
03978;19790213;-999.9;-0.1;-1.7;-2.9;94;0.0;8.0;0.0;3.4 
03978;19790214;-999.9;-1.4;-9.5;-4.5;85;2.0;8.0;0.0;6.1 
03978;19790215;-999.9;-9.2;-11.4;-10.2;81;1.7;8.0;0.0;5.5 
03978;19790216;-999.9;-6.7;-10.9;-11.4;88;1.3;8.0;0.0;8.0 
03978;19790217;-999.9;-8.2;-10.9;-10.7;85;1.0;8.0;0.0;7.0 
03978;19790218;-999.9;-3.9;-9.5;-9.5;84;0.0;8.0;0.0;2.0 
03978;19790219;-999.9;-0.3;-4.5;-5.0;98;0.3;8.0;0.0;2.0 
03978;19790220;-999.9;0.8;-4.7;-5.0;88;0.7;5.7;0.5;3.0 
03978;19790221;-999.9;0.9;-6.9;-9.0;82;0.3;2.0;4.6;3.9 
03978;19790222;-999.9;2.7;-8.3;-11.1;80;0.3;5.0;4.3;3.7 
03978;19790223;-999.9;0.8;-8.2;-8.6;81;0.7;8.0;0.0;8.8 
03978;19790224;-999.9;-0.6;-3.4;-3.9;89;0.3;8.0;0.0;6.0 
03978;19790225;-999.9;1.0;-5.7;-4.6;80;0.7;4.3;3.6;5.0 
03978;19790226;-999.9;-0.5;-10.7;-13.0;77;0.7;3.0;2.7;9.2 
03978;19790227;-999.9;5.8;-2.0;-4.0;51;2.7;5.0;2.4;11.0 
03978;19790228;-999.9;7.8;0.6;-2.5;40;1.0;1.0;7.0;9.0 
03978;19790301;-999.9;4.8;-0.7;-4.5;73;3.0;5.7;7.0;11.5 
03978;19790302;-999.9;5.5;0.5;-1.5;76;4.7;5.7;2.8;17.5 
03978;19790303;-999.9;8.6;4.0;2.5;77;5.0;6.0;0.9;17.2 
03978;19790304;-999.9;7.7;1.7;5.0;86;2.7;7.3;0.0;15.9 
03978;19790305;-999.9;7.4;-1.0;-2.5;68;1.3;0.0;7.3;6.2 
03978;19790306;-999.9;8.6;-1.5;-3.5;78;1.3;3.7;4.3;7.9 
03978;19790307;-999.9;7.6;2.0;-0.4;63;3.3;5.7;4.3;14.1 
03978;19790308;-999.9;5.9;1.4;-0.5;70;2.0;2.3;5.3;12.4 
03978;19790309;-999.9;6.6;2.7;1.0;76;4.0;7.0;0.7;20.2 
03978;19790310;-999.9;4.2;-0.3;-1.0;73;2.7;6.0;4.1;13.2 
03978;19790311;-999.9;5.4;-0.9;-2.5;76;2.0;8.0;0.0;12.8 
03978;19790312;-999.9;8.5;2.9;4.5;70;2.0;5.0;2.4;12.9 
03978;19790313;-999.9;8.5;3.2;2.0;72;2.0;6.7;4.9;13.8 
03978;19790314;-999.9;3.6;0.6;1.0;85;1.7;8.0;0.0;5.2 
03978;19790315;-999.9;1.5;-0.5;-1.0;93;1.3;8.0;0.0;9.0 
03978;19790316;-999.9;3.6;0.0;-0.5;94;0.3;8.0;0.0;7.2 
03978;19790317;-999.9;6.6;0.4;0.4;75;1.0;6.3;4.0;8.9 
03978;19790318;-999.9;4.5;0.3;-1.0;83;1.3;6.0;4.0;6.5 
03978;19790319;-999.9;1.8;-3.6;-3.5;90;1.0;8.0;0.3;4.8 
03978;19790320;-999.9;5.0;-5.5;-7.3;85;0.0;5.3;5.2;2.8 
03978;19790321;-999.9;10.5;1.5;0.6;69;3.3;3.3;7.0;13.5 
03978;19790322;-999.9;8.5;0.8;-0.7;49;3.7;1.0;7.7;16.0 
03978;19790323;-999.9;6.1;0.6;-0.2;72;1.3;5.3;5.3;11.2 
03978;19790324;-999.9;5.8;-1.5;-2.6;67;0.7;2.3;6.3;4.8 
03978;19790325;-999.9;9.8;-1.0;-2.7;69;3.3;7.7;0.0;15.5 
03978;19790326;-999.9;14.7;6.7;7.0;72;2.3;4.3;4.5;14.4 
03978;19790327;-999.9;8.6;3.5;1.8;66;3.3;3.7;2.9;14.0 
03978;19790328;-999.9;10.9;6.5;4.9;65;1.3;5.3;1.7;11.5 
03978;19790329;-999.9;6.9;2.1;2.1;95;1.0;8.0;0.0;5.4 
03978;19790330;-999.9;2.5;0.5;0.5;98;1.0;8.0;0.0;5.6 
03978;19790331;-999.9;2.4;0.5;0.0;93;1.0;8.0;0.0;8.4 
03978;19790401;-999.9;5.2;1.1;-0.5;83;2.0;8.0;0.0;8.0 
03978;19790402;-999.9;8.3;2.8;1.9;83;1.3;4.7;3.5;10.1 
03978;19790403;-999.9;8.1;2.1;0.5;80;1.0;4.0;4.0;12.5 
03978;19790404;-999.9;8.6;0.4;-1.4;64;1.0;8.0;2.3;7.6 
03978;19790405;-999.9;8.4;2.7;1.9;79;0.3;7.7;0.5;7.1 
