Rain[mm];Tmax[C];Tmin[C];Rhmean[%];Windspeed[m/s];RS[MJ/m²*day];Cloud[%]
0;3.10;-0.80;91.60;4.30;0.584;100
0;7.20;3.40;77.90;6.60;1;100
0;6.50;2.60;71.90;5.40;2.97;61.12964569
0;6.90;2.70;81.90;5.30;0.705;100
0;5.10;1.80;89.30;2.30;1;100
0;7.00;2.10;97.80;1.20;0.827;100
0;7.80;1.50;93.90;3.10;2;94.53355188
0;6.90;-0.80;85.10;3.70;2;99.41578347
0;10.40;2.40;89.30;4.20;0.86;100
2.1;2.30;-4.20;90.60;2.20;1;100
0;0.10;-7.30;94.20;2.00;3;55.76006533
0;3.00;-3.20;95.90;3.60;0.768;100
0;-0.20;-1.90;97.80;2.60;1;100
1.2;6.10;-0.10;97.00;3.50;0.235;100
0;6.00;5.10;83.50;4.30;0.534;100
0.3;5.30;3.20;82.70;5.10;0.479;100
0;4.30;-1.20;77.00;2.60;1;100
0.8;6.00;-1.10;94.40;3.30;0.689;100
13.4;6.30;-1.50;96.20;3.80;0.547;100
0;-2.30;-7.90;81.00;4.80;2;100
0;-3.90;-9.60;86.00;1.70;4;56.01712808
0;-5.00;-11.00;88.00;2.60;3;72.22681183
0;-4.30;-10.10;90.10;1.90;3;79.8596699
0;-2.50;-8.30;91.90;0.80;3;80.89953963
0;-5.00;-9.30;98.00;0.00;1;100
0.1;-0.40;-5.90;98.60;0.00;0.662;100
0.1;0.70;-0.50;98.90;0.00;1.18;100
0;0.10;-1.50;95.60;1.60;1;100
0;1.60;-0.10;97.60;2.10;0.887;100
0;2.70;-0.10;93.90;1.50;2;100
0;-0.30;-1.30;96.90;1.20;0.593;100
0;-0.20;-1.10;96.30;1.70;0.609;100
0;0.10;-1.60;97.20;2.70;0.665;100
4.5;3.70;-1.60;89.20;5.70;1;100
0.2;3.30;0.10;81.10;4.90;3;92.08275379
0.9;3.50;0.30;89.20;4.20;1;100
1;7.30;-0.70;95.50;2.10;0.961;100
0;7.80;6.30;82.50;3.80;2;100
0;6.20;-1.00;79.70;1.80;2;100
0;8.20;-1.90;87.30;1.50;6;52.46713049
0.4;8.00;-0.20;87.50;3.20;3;97.72668247
3.3;5.10;0.10;97.30;2.40;1;100
0.4;7.70;3.70;92.90;1.50;3;99.01478816
2;11.20;5.00;94.40;2.30;3;100
2.7;6.50;1.10;93.90;2.70;3;96.63818124
5.4;7.50;1.30;89.90;4.80;2;100
0.3;4.30;0.00;83.50;5.30;2.17;100
0;0.40;-3.70;87.20;4.30;5;84.16527787
0;-1.00;-6.00;81.30;2.60;4;87.8385135
0.2;1.60;-1.40;85.40;3.50;2;100
0;3.20;-3.70;90.70;2.50;5;78.09445727
1.1;3.50;1.30;95.50;2.40;2;100
0.1;5.10;2.20;86.20;3.50;4;100
4.4;8.40;2.50;85.00;6.00;2;100
0;7.20;0.90;83.00;2.50;7;56.92999318
0;6.80;-1.40;90.30;0.00;3;100
0;8.90;-0.20;79.80;1.40;6;74.98058433
0;10.60;-0.20;87.50;0.50;7;67.5907576
0;13.70;-2.40;86.40;0.60;7;65.30103567
0;13.60;2.10;82.20;1.30;6.82;69.50964865
0;15.90;0.50;74.70;1.50;9;41.76860372
1.1;14.60;2.10;78.40;3.60;5;92.64750786
4.2;7.90;2.70;85.30;5.90;3;100
0;11.50;4.80;73.00;3.50;10;38.40243034
0;13.60;-0.50;83.00;1.00;9;49.22986255
4.8;10.70;2.50;88.80;2.00;2;100
0.2;8.10;4.70;93.60;1.20;4;100
0;12.00;1.20;67.50;2.80;10;42.87207818
0;12.80;-0.30;63.80;1.70;11;41.12724338
0;13.40;-2.30;62.00;2.70;10;45.10809275
2.8;6.90;1.10;73.40;5.20;6;91.57707254
7.7;7.00;-0.50;92.00;6.40;3;100
7.2;7.10;0.30;93.20;5.30;2;100
0;4.00;-0.10;64.70;5.80;9;69.46065975
1.1;2.50;-1.80;87.00;4.30;9;68.07961479
0;5.50;-1.20;65.40;4.00;10;61.83843506
0;5.80;-4.50;84.40;1.90;7;86.87149154
0;11.40;3.10;89.20;1.80;8;77.98594227
0.3;13.30;0.70;84.70;3.10;9;67.04309974
6.8;8.10;3.90;92.80;2.90;4;100
7.5;12.30;4.20;94.50;3.40;4;100
8.1;8.60;2.90;81.00;4.60;7;89.83370567
2.3;7.60;-0.50;84.40;2.50;8.89;75.88997256
0;7.10;-1.30;87.90;4.90;7;91.07386977
12.9;2.60;1.10;96.40;4.40;1.24;100
0.3;7.30;1.30;79.50;3.20;8;83.99958284
1.4;3.70;1.10;93.10;3.10;4;100
5.5;2.80;0.40;94.40;3.40;6;99.77924403
0.1;4.30;-0.90;88.50;3.10;7;92.55106306
0;5.70;-2.80;80.40;2.40;9;84.12948256
0;12.20;0.00;74.60;5.20;14.95;37.25656274
2.9;15.30;3.10;83.20;5.20;10;79.06762093
0;13.40;2.10;73.30;2.80;14;49.36898382
1.6;11.20;1.70;80.70;2.40;12;64.73634884
0;8.90;2.00;77.10;2.60;10;81.31159703
0;7.40;-0.10;75.70;1.70;12.18;63.24215939
0;8.30;-2.70;82.70;1.40;9;89.51259967
0;23.40;2.00;62.00;1.40;15;43.22661896
0;23.40;3.20;42.90;2.00;18;26.65813575
0;12.00;-1.60;69.10;2.10;13;58.65747889
0;13.40;-2.20;64.80;0.80;17;34.81932775
0;15.60;3.50;65.50;1.40;12;68.58687851
0;16.80;4.60;64.50;1.50;13;64.32964669
1.5;11.80;5.90;63.60;3.60;12;68.04581134
6.3;9.70;4.20;84.70;5.00;10;87.87298512
0.7;18.00;3.90;66.90;4.10;6;100
0.9;7.70;1.60;81.80;4.20;6;100
0.4;6.90;0.10;81.10;3.30;15;54.18584518
2.5;10.10;1.40;87.10;3.90;11;82.52748458
2;10.50;5.10;65.40;6.00;16;48.65368702
0;9.40;2.10;55.00;5.00;17;46.14384152
0;11.90;-2.00;56.10;2.00;22;15.29195658
0;13.90;2.20;52.90;3.50;18;43.87395171
1.3;9.60;1.00;83.50;1.00;7;100
0;15.80;5.50;76.70;1.30;13;71.36813427
0;24.90;8.00;64.30;3.20;18;42.15946857
6.9;19.70;10.10;79.30;1.50;13;74.25978923
0.4;16.80;6.90;70.70;3.00;15;63.61225034
0;17.40;2.80;66.60;3.10;14;68.53819473
7.3;13.00;6.00;84.90;2.90;9;99.34957302
0;14.60;1.60;72.40;1.10;16;56.15466004
0.1;17.50;5.60;70.30;4.20;18;49.23285344
1.4;10.00;6.50;87.30;1.70;7.33;100
0;12.10;5.10;74.50;1.90;16;62.45221996
0;13.60;1.20;68.50;1.30;23;21.2564834
0;16.00;1.00;67.70;1.10;25;10.06527116
0;18.40;2.30;60.60;2.20;22;26.80064124
2;16.50;10.80;85.10;3.00;6;100
0;18.10;12.60;85.30;4.00;7;100
0;18.10;12.60;85.30;4.00;7;100
