PLOT;YEAR_;MONTH_;DAY_;WATER_60_90_CM_VOL_PROZ
plot1;1993;4;21;13.7
plot1;1993;5;3;13.5
plot1;1993;7;13;14
plot1;1993;8;3;10.8
plot1;1993;8;17;11
plot1;1993;8;31;8.2
plot1;1993;9;21;11.6
plot1;1993;12;7;13.6
plot1;1994;3;8;16.8
plot1;1994;4;19;17.3
plot1;1994;5;27;15.2
plot1;1994;6;15;14.2
plot1;1994;7;27;8.2
plot1;1994;9;21;14.4
plot1;1994;11;30;16.6
plot1;1995;3;13;14.6
plot1;1995;4;26;16.2
plot1;1995;6;7;12.3
plot1;1995;7;17;11.2
plot1;1996;4;22;13.6
plot1;1996;8;26;7.7
plot1;1997;5;5;15.6
plot1;1997;10;1;7.1
plot1;1998;7;29;9.1
