PLOT;DATE_;YEAR_;MONTH_;DAY_;JULIAN_DAY;WATER_0_30_CM_VOL_PROZ;WATER_30_60_CM_VOL_PROZ;WATER_60_90_CM_VOL_PROZ
plot1;21.04.1993;1993;4;21;111;10.6;11.6;13.7
plot1;03.05.1993;1993;5;3;123;9.1;11.7;13.5
plot1;13.07.1993;1993;7;13;194;15.2;13.2;14
plot1;03.08.1993;1993;8;3;215;9.9;9.3;10.8
plot1;17.08.1993;1993;8;17;229;7.1;7.2;11
plot1;31.08.1993;1993;8;31;243;12;5.8;8.2
plot1;21.09.1993;1993;9;21;264;13.7;10.9;11.6
plot1;07.12.1993;1993;12;7;341;17.6;14.1;13.6
plot1;08.03.1994;1994;3;8;67;20.2;19;16.8
plot1;19.04.1994;1994;4;19;109;14.4;14;17.3
plot1;27.05.1994;1994;5;27;147;17.7;12.5;15.2
plot1;15.06.1994;1994;6;15;166;8.9;9.8;14.2
plot1;27.07.1994;1994;7;27;208;3;3.5;8.2
plot1;21.09.1994;1994;9;21;264;14.9;13.7;14.4
plot1;30.11.1994;1994;11;30;334;18.1;13.8;16.6
plot1;13.03.1995;1995;3;13;72;14.3;12.5;14.6
plot1;26.04.1995;1995;4;26;116;12.9;13.7;16.2
plot1;07.06.1995;1995;6;7;158;17.8;17.2;12.3
plot1;17.07.1995;1995;7;17;198;7.9;8.1;11.2
plot1;22.04.1996;1996;4;22;113;10.9;10.7;13.6
plot1;26.08.1996;1996;8;26;239;13.3;7.6;7.7
plot1;05.05.1997;1997;5;5;125;13;11.6;15.6
plot1;01.10.1997;1997;10;1;274;7.4;6.7;7.1
plot1;29.07.1998;1998;7;29;210;10.1;5.1;9.1
