RUE,transpiration,radiation,biomass,evaporation,water_uptake,shoot_biomass,PotentialGrowth,root_biomass,leaf,storage,ETc,ETo,lai,water_stress,potential_depth,stem,stress,rooting_depth,ActualGrowth
1,442.665209061,3975.8,1708.62120385,164.60698855,207.293219864,1513.56745166,69.8616077718,195.053752186,339.32598235,525.966210289,607.272197611,516.784027011,25.6664871841,72.3579886989,9072.0,648.275259025,72.3579886989,4260.64589311,30.3941654489,
2,442.665209061,3975.8,5811.10403116,164.60698855,207.293219864,5272.93819827,253.19048377,538.165832887,1008.54538443,2051.064761,607.272197611,516.784027011,45.4270109714,72.3579886989,9072.0,2213.32805284,72.3579886989,4260.64589311,109.655300873,
3,442.665209061,3975.8,14278.1561979,164.60698855,207.293219864,13142.8834731,649.579463896,1135.27272486,2228.07432936,5472.32511724,607.272197611,516.784027011,80.692843422,72.3579886989,9072.0,5442.48402647,72.3579886989,4260.64589311,279.708312071,
4,442.665209061,3975.8,28907.1430485,164.534346344,207.293219864,26818.184401,1345.12146025,2088.95864744,4240.26191442,11552.0552527,607.199555404,516.784027011,138.217838315,72.3579886989,9072.0,11025.8672339,72.3579886989,4260.64589311,577.594187336,
5,442.665209061,3975.8,49753.2024645,151.40355702,210.887881767,46329.3947456,2323.78537427,3423.80771886,7196.05182853,20120.1290686,594.06876608,516.784027011,222.367688895,72.2271875474,9072.0,19013.2138485,72.2271875474,4262.46900115,1002.3466892,
6,442.665209061,3975.8,92584.948523,85.3164686317,258.759653981,87230.5433201,3450.2408701,5354.40520289,11055.5179763,44704.5659162,527.981677692,516.784027011,332.405666024,60.8209007657,9072.0,31470.4594276,60.8209007657,4586.1778116,1942.17749078,
7,442.665209061,3975.8,126820.795568,83.443879463,262.052179403,119492.696416,4575.65451998,7328.09915212,15615.4279401,60521.8351824,526.109088524,516.784027011,463.1120236,60.4121420957,9072.0,43355.4332935,60.4121420957,4668.56078136,2613.1990341,
8,442.665209061,3975.8,161362.093175,81.1006113713,265.507444413,151963.591877,5627.0649038,9398.50129822,20632.2384464,75901.7856829,523.765820432,516.784027011,607.991608024,59.9556249832,9072.0,55429.5677472,59.9556249832,4747.81077951,3263.35510347,
9,442.665209061,3975.8,192693.725646,79.2082483198,266.124229567,181263.70989,6599.47683038,11430.0157566,25914.7006192,88750.8417481,521.87345738,516.784027011,761.77891172,59.8733486634,9072.0,66598.1675223,59.8733486634,4761.94906934,3852.46218407,
10,442.665209061,3975.8,222404.980869,77.5255420868,266.124229567,208946.393444,7513.95388721,13458.5874254,31343.8260155,100287.061048,520.190751147,516.784027011,921.059324654,59.8733486634,9072.0,77315.5063805,59.8733486634,4761.94906934,4404.67784839,
