PLOT;DATE_;YEAR_;MONTH_;DAY_;JULIAN_DAY;WATER_0_30_CM_VOL_PROZ;WATER_30_60_CM_VOL_PROZ;WATER_60_90_CM_VOL_PROZ
plot3;21.04.1993;1993;4;21;111;11.2;11.6;14.8
plot3;03.05.1993;1993;5;3;123;8.5;12.1;14.8
plot3;14.06.1993;1993;6;14;165;18.6;15.7;16.3
plot3;28.06.1993;1993;6;28;179;14.6;13.8;14.9
plot3;13.07.1993;1993;7;13;194;13.3;10.2;11.7
plot3;03.08.1993;1993;8;3;215;11.1;11.1;13
plot3;17.08.1993;1993;8;17;229;4.8;4.6;7.9
plot3;31.08.1993;1993;8;31;243;11;5.2;8.7
plot3;21.09.1993;1993;9;21;264;12.5;10.1;8
plot3;07.12.1993;1993;12;7;341;15.2;12.8;12.8
plot3;08.03.1994;1994;3;8;67;19;17.2;16.3
plot3;19.04.1994;1994;4;19;109;14.4;13.1;15.6
plot3;27.05.1994;1994;5;27;147;16.6;13.8;14.9
plot3;15.06.1994;1994;6;15;166;9.2;9.8;12.7
plot3;27.07.1994;1994;7;27;208;6.3;5.9;9.6
plot3;21.09.1994;1994;9;21;264;13.8;12.6;14.9
plot3;30.11.1994;1994;11;30;334;16.8;14;15.7
plot3;13.03.1995;1995;3;13;72;14.5;11.9;13.2
plot3;26.04.1995;1995;4;26;116;12.5;12.1;14.7
plot3;07.06.1995;1995;6;7;158;19.3;7;14.5
plot3;17.07.1995;1995;7;17;198;8.9;9;11.4
plot3;22.04.1996;1996;4;22;112;11.1;11.2;13.9
plot3;26.08.1996;1996;8;26;238;14.8;10.5;10.1
plot3;05.05.1997;1997;5;5;125;13.2;11.4;13.4
plot3;01.10.1997;1997;10;1;274;7.1;6.5;7.7
plot3;29.07.1998;1998;7;29;210;10.3;6;7.9
