Year,Month,Day,Watercontent0-30cm,Watercontent30-60cm,Watercontent60-90cm
1993,4,21,17.5055511634,17.1126775791,18.69207257
1993,5,3,11.7618503653,16.3678503082,18.4512037429
1993,6,14,28.353413411,17.735979134,17.9482303988
1993,6,28,20.7852281864,17.7035238992,18.3137011947
1993,7,13,17.8439816833,16.2158093872,18.1230442041
1993,8,3,13.6859011389,15.7707864511,17.8447721379
1993,8,17,13.6500303473,15.6738485889,17.7185904583
1993,8,31,16.6402815018,15.4750744383,17.6215138689
1993,9,21,23.8540655184,18.6734719873,17.8127972881
1993,12,7,26.6749577931,20.3839735668,19.58408465
1994,3,8,28.2662874602,21.3032794655,20.7831065637
1994,4,19,28.4582105261,22.1060262613,21.8662318231
1994,5,27,23.7648742556,17.8211428987,18.8738289421
1994,6,15,17.5596925378,15.3921422688,18.1204411879
1994,7,27,6.56763335964,7.35499503904,15.8497540819
1994,9,21,27.5655149522,19.7604981613,16.950800237
1994,11,30,27.5391757659,20.7503350082,19.3630707944
1995,3,13,26.0377837304,20.5592613201,20.7574257148
1995,4,26,20.1391743135,19.0955258184,20.0358528095
1995,6,7,18.3221963674,15.9946324093,18.4944567772
1995,7,17,9.10458421041,11.5470381599,17.1174275013
1996,4,22,13.4263661994,15.785284585,17.4951648922
1996,8,26,16.8101671209,10.2232520176,16.1066286942
1997,5,5,15.5974527043,16.177722528,17.5891826541
1997,10,1,15.172753793,15.8959750075,17.0880897609
1998,7,29,9.01012630026,7.61276543833,16.6203698245
